block,cardiac_phase,choice,chosen_symbol,date_time,feedback,feedback_time,first_r_peak,is_reversed,participant,r_peak_time,response_time,rt,run,second_r_peak,session,symbol_positions,time_from_r_peak,timing_mode,trial
0,systole,1.0,B,20241213-163318,win,15597.2898327,15596.3363652,False,h,15597.1398327,1734107618.019333,0.41287560000091617,1,15597.1398327,001,AB,0.1499999999996362,systole,0
0,systole,1.0,A,20241213-163318,loss,15598.975646,15597.9049187,False,h,15598.685646,1734107625.8107615,0.9847764999994979,1,15598.685646,001,BA,0.2900000000008731,systole,1
0,systole,0.0,B,20241213-163318,loss,15600.55649,15599.4767856,False,h,15600.26649,1734107633.960025,0.6698312999997142,1,15600.26649,001,BA,0.2900000000008731,systole,2
0,diastole,,B,20241213-163318,neutral,15602.3991464,15601.0480808,False,h,15601.8991464,1734107641.760449,,1,15601.8991464,001,BA,0.5,diastole,3
0,diastole,0.0,B,20241213-163318,loss,15603.8910065,15602.72478,False,h,15603.5810065,1734107645.640765,0.7888450999998895,1,15603.5810065,001,BA,0.3099999999994907,diastole,4
0,diastole,0.0,A,20241213-163318,loss,15605.514587099999,15604.3937596,True,h,15605.2045871,1734107653.5381026,0.20711200000005192,1,15605.2045871,001,AB,0.3099999999994907,diastole,5
0,systole,1.0,B,20241213-163318,win,15607.1985564,15606.0539303,True,h,15606.9085564,1734107660.438904,0.3698261999998067,1,15606.9085564,001,AB,0.2900000000008731,mixed,6
0,diastole,1.0,A,20241213-163318,loss,15609.267927800001,15607.8259151,True,h,15608.5779278,1734107668.4571838,0.5759589999997843,1,15608.5779278,001,BA,0.6900000000005093,mixed,7
0,diastole,1.0,B,20241213-163318,loss,15610.483787899999,15609.3406012,True,h,15610.1737879,1734107676.9052663,1.2404879999994591,1,15610.1737879,001,AB,0.3099999999994907,mixed,8
0,diastole,0.0,B,20241213-163318,win,15612.062711499999,15610.974967,True,h,15611.7527115,1734107685.6422143,0.37707249999948544,1,15611.7527115,001,BA,0.3099999999994907,mixed,9
1,systole,1.0,B,20241213-163318,loss,15613.3553455,15612.5888977,False,h,15613.3453455,1734107698.0624545,0.4060148999997182,1,15613.3453455,001,AB,0.010000000000218279,systole,0
