peak_number,pc1_lsl_time,pc2_lsl_time,calculated_offset,rr_interval,heart_rate,time_recorded
1,7223.6410691,7211.0519039,12.589165200000025,,,15:04:55
2,7224.5105317,7211.9228166,12.587715099999514,0.8709127000001899,68.8932426866515,15:04:56
3,7225.2906166,7212.7017656,12.588851000000432,0.7789489999995567,77.02686568701436,15:04:56
4,7226.083153,7213.4946312,12.588521799999398,0.7928656000003684,75.67486847704342,15:04:57
5,7226.8903256,7214.3013096,12.589015999999901,0.8066784000002372,74.37908341165743,15:04:58
6,7227.6845962,7215.0952513,12.58934489999956,0.7939416999997775,75.5722995781892,15:04:59
7,7228.4477319,7215.8579027,12.589829200000167,0.7626513999994131,78.67290350485972,15:05:00
8,7229.2495536,7216.6598057,12.589747899999566,0.8019030000004932,74.8220171267137,15:05:00
9,7230.0464525,7217.4577828,12.588669699999627,0.7979771000000255,75.19012763649242,15:05:01
10,7230.8688683,7218.2790636,12.589804700000059,0.8212807999998404,73.05662082933348,15:05:02
11,7231.671474,7219.0828856,12.588588399999935,0.8038219999998546,74.64339119856244,15:05:03
12,7232.388476,7219.7986273,12.589848700000402,0.7157416999998532,83.82912438944427,15:05:04
13,7233.1942557,7220.6051603,12.589095400000588,0.8065329999999449,74.39249230968119,15:05:04
14,7234.0264601,7221.4386506,12.587809499999821,0.8334903000004488,71.98644063400342,15:05:05
15,7234.781844,7222.1935622,12.588281800000004,0.754911600000014,79.47950462014212,15:05:06
16,7235.4970627,7222.9082256,12.588837100000092,0.7146634000000631,83.95560763290061,15:05:07
17,7236.2243284,7223.6352156,12.589112799999384,0.7269900000001144,82.53208434777721,15:05:07
18,7237.0283994,7224.439544,12.588855400000284,0.8043283999995765,74.596396198408,15:05:08
19,7237.7908224,7225.2014878,12.589334600000257,0.7619438000001537,78.74596525358943,15:05:09
20,7238.58273,7225.9932327,12.589497300000403,0.791744899999685,75.78198482872939,15:05:10
21,7239.4216552,7226.8328723,12.588782899999387,0.8396396000007371,71.45923084136018,15:05:11
