peak_number,pc1_lsl_time,pc2_lsl_time,calculated_offset,rr_interval,heart_rate,time_recorded
1,6946.6192448,6993.8503501,-47.2311052999994,,,17:35:09
2,6947.4369351,6994.6674752,-47.230540100000326,0.8171251000003394,73.42816907714018,17:35:10
3,6948.2806329,6995.5109155,-47.230282600000464,0.8434403000001112,71.13722216023125,17:35:11
4,6949.1172619,6996.3484575,-47.23119560000032,0.8375420000002123,71.63819844256741,17:35:12
5,6949.8880506,6997.1196011,-47.231550500000594,0.7711435999999594,77.806520082645,17:35:12
6,6950.6238842,6997.8552371,-47.231352899999365,0.7356359999994311,81.56207689678918,17:35:13
7,6951.392929,6998.6237979,-47.23086890000013,0.7685608000001594,78.06799410012528,17:35:14
8,6952.1896158,6999.4214109,-47.231795100000454,0.7976130000006378,75.22445095547843,17:35:15
9,6953.0679603,7000.2989785,-47.23101820000011,0.8775675999995656,68.37080129215083,17:35:15
10,6953.9006303,7001.132596,-47.23196570000073,0.8336175000004005,71.97545636934346,17:35:16
11,6954.7460404,7001.9762193,-47.23017889999937,0.8436232999993081,71.12179097003273,17:35:17
12,6955.6226919,7002.8576582,-47.23496629999954,0.881438899999921,68.07051515426126,17:35:18
13,6956.48386,7003.7153882,-47.23152819999996,0.8577300000006289,69.95208282321477,17:35:19
14,6957.2844938,7004.5159554,-47.23146160000033,0.8005671999999322,74.94686267437022,17:35:20
15,6958.1128195,7005.3429606,-47.230141099999855,0.8270051999998032,72.5509343835012,17:35:20
16,6958.9748048,7006.2066158,-47.23181099999965,0.8636551999998119,69.47216898597156,17:35:21
17,6959.7752571,7007.0052273,-47.229970200000025,0.7986115000003338,75.13039819733991,17:35:22
18,6960.5603083,7007.7911393,-47.23083100000076,0.7859120000002804,76.34442533003516,17:35:23
19,6961.3775918,7008.6084179,-47.23082609999983,0.817278599999554,73.41437791229667,17:35:24
20,6962.2067056,7009.4374766,-47.23077100000046,0.8290587000001324,72.37123257978044,17:35:25
21,6963.053629,7010.2854358,-47.23180680000041,0.8479592000003322,70.75812138128403,17:35:25
22,6963.8662836,7011.0983826,-47.232098999999835,0.812946799999736,73.8055675968212,17:35:26
23,6964.6662958,7011.8964836,-47.23018779999984,0.7981009999994058,75.1784548572733,17:35:27
24,6965.4973695,7012.7280056,-47.23063610000008,0.8315220000004047,72.15684010762288,17:35:28
25,6966.3590885,7013.5891614,-47.23007289999987,0.8611558000002333,69.67380350917192,17:35:29
26,6967.188813,7014.4197885,-47.23097550000057,0.8306271000001288,72.23458035500009,17:35:30
27,6967.9484493,7015.1786673,-47.230217999999695,0.7588787999993656,79.06400864018096,17:35:30
28,6968.7295197,7015.9604262,-47.230906499999946,0.7817589000005682,76.75000566025713,17:35:31
29,6969.5432217,7016.77391,-47.23068830000011,0.8134837999996307,73.75684678665665,17:35:32
30,6970.3769401,7017.607847,-47.230906900000264,0.8339370000003328,71.94788095500746,17:35:33
31,6971.1745275,7018.4058524,-47.23132489999989,0.7980053999999654,75.18746113748428,17:35:34
32,6971.9639862,7019.1954858,-47.23149959999955,0.7896333999997296,75.98462780325724,17:35:34
33,6972.8200777,7020.0503289,-47.23025119999966,0.8548430999999255,70.1883187686784,17:35:35
34,6973.6675509,7020.8987872,-47.23123630000009,0.8484582999999475,70.7164983830127,17:35:36
35,6974.5132575,7021.7449068,-47.231649299999845,0.8461195999998381,70.91196090955874,17:35:37
36,6975.3225584,7022.5530569,-47.23049850000007,0.8081501000006028,74.24363370115928,17:35:38
37,6976.1436226,7023.3738433,-47.230220700000245,0.8207863999996334,73.10062642366735,17:35:39
38,6976.9806171,7024.2111202,-47.23050309999962,0.8372768999997788,71.66088064774729,17:35:39
39,6977.8209481,7025.0521465,-47.23119839999981,0.8410263000005216,71.34140751598706,17:35:40
40,6978.604061,7025.8337231,-47.22966209999959,0.7815765999994255,76.76790732993298,17:35:41
41,6979.3896513,7026.6212793,-47.231628000000455,0.7875562000008358,76.18503923902361,17:35:42
42,6980.2079336,7027.4381778,-47.230244200000016,0.8168984999992972,73.44853736425226,17:35:43
43,6981.0523867,7028.2836448,-47.23125809999965,0.8454670000000988,70.96669651209686,17:35:43
44,6981.8973247,7029.1275391,-47.23021439999957,0.8438943000001018,71.09895161040045,17:35:44
45,6982.7135972,7029.9451026,-47.23150540000006,0.8175634999997783,73.3887948765035,17:35:45
46,6983.5309051,7030.7613767,-47.23047159999987,0.8162741000005553,73.5047210244196,17:35:46
47,6984.375059,7031.6061585,-47.2310994999998,0.8447817999995095,71.02425738816206,17:35:47
48,6985.2238719,7032.4542641,-47.2303922000001,0.8481056000000535,70.74590711344933,17:35:48
49,6986.0240303,7033.2540409,-47.23001060000024,0.7997768000004726,75.02093083965995,17:35:48
50,6986.8380137,7034.0696086,-47.231594899999436,0.8155676999995194,73.56838678142276,17:35:49
